[응답자 특성],,,,,,,,,,,,,,,,
,,전체,고객 타입,,사용자*연령1,,사용자*연령2,,,,이탈자*연령1,,이탈자*연령2,,,
,,,사용자,이탈자,사용자/19~29세,사용자/30~39세,사용자/19~24세,사용자/25~29세,사용자/30~34세,사용자/35~39세,이탈자/19~29세,이탈자/30~39세,이탈자/19~24세,이탈자/25~29세,이탈자/30~34세,이탈자/35~39세
◆로드샵 브랜드 Sub NET◆,66.3,71.3,61.3,78.5,63.4,80.0,77.6,72.9,43.5,61.3,61.3,55.6,64.6,66.7,51.9,
   7) 이니스프리,37.7,41.3,34.0,51.9,29.6,53.3,51.0,35.4,17.4,41.3,26.7,33.3,45.8,33.3,14.8,
   4) 미샤,21.3,22.0,20.7,21.5,22.5,30.0,16.3,25.0,17.4,21.3,20.0,18.5,22.9,18.8,22.2,
   1) 네이처 리퍼블릭,19.7,24.7,14.7,25.3,23.9,33.3,20.4,31.3,8.7,10.7,18.7,3.7,14.6,14.6,25.9,
   3) 더페이스샵,19.3,22.7,16.0,26.6,18.3,43.3,16.3,22.9,8.7,12.0,20.0,3.7,16.7,18.8,22.2,
   6) 에뛰드,15.7,18.0,13.3,24.1,11.3,23.3,24.5,12.5,8.7,17.3,9.3,18.5,16.7,6.3,14.8,
   5) 스킨푸드,14.7,16.0,13.3,15.2,16.9,20.0,12.2,14.6,21.7,8.0,18.7,7.4,8.3,18.8,18.5,
   8) 토니모리,10.0,13.3,6.7,11.4,15.5,13.3,10.2,16.7,13.0,6.7,6.7,3.7,8.3,6.3,7.4,
   2) 더샘,7.0,6.0,8.0,7.6,4.2,10.0,6.1,2.1,8.7,13.3,2.7,11.1,14.6,4.2,,
◆일반 매스 브랜드 Sub NET◆,69.7,66.0,73.3,72.2,59.2,66.7,75.5,60.4,56.5,69.3,77.3,81.5,62.5,72.9,85.2,
  28) 바디샵,16.3,13.3,19.3,16.5,9.9,13.3,18.4,8.3,13.0,21.3,17.3,11.1,27.1,14.6,22.2,
  45) 아이오페,15.7,17.3,14.0,20.3,14.1,20.0,20.4,16.7,8.7,14.7,13.3,22.2,10.4,14.6,11.1,
  65) 피지오겔,13.0,10.7,15.3,8.9,12.7,6.7,10.2,16.7,4.3,17.3,13.3,14.8,18.8,12.5,14.8,
  21) 라네즈,12.7,17.3,8.0,20.3,14.1,10.0,26.5,14.6,13.0,10.7,5.3,14.8,8.3,4.2,7.4,
  25) 마몽드,10.3,11.3,9.3,11.4,11.3,10.0,12.2,10.4,13.0,9.3,9.3,11.1,8.3,12.5,3.7,
  59) 차앤박,8.7,6.0,11.3,5.1,7.0,,8.2,2.1,17.4,12.0,10.7,18.5,8.3,10.4,11.1,
  52) 유리아쥬,8.3,8.0,8.7,10.1,5.6,10.0,10.2,8.3,,13.3,4.0,14.8,12.5,6.3,,
  35) 비욘드,8.0,8.7,7.3,10.1,7.0,6.7,12.2,2.1,17.4,10.7,4.0,11.1,10.4,4.2,3.7,
  43) 아벤느,8.0,8.0,8.0,13.9,1.4,10.0,16.3,2.1,,9.3,6.7,14.8,6.3,6.3,7.4,
  13) 뉴트로지나,7.7,9.3,6.0,7.6,11.3,10.0,6.1,10.4,13.0,6.7,5.3,7.4,6.3,4.2,7.4,
  49) 엔프라니/ 디어 바이 엔프라니,7.0,10.0,4.0,11.4,8.5,6.7,14.3,2.1,21.7,6.7,1.3,3.7,8.3,2.1,,
  29) 바이오더마,6.7,5.3,8.0,8.9,1.4,3.3,12.2,,4.3,10.7,5.3,14.8,8.3,4.2,7.4,
  68) 한스킨,6.3,8.7,4.0,8.9,8.5,3.3,12.2,6.3,13.0,4.0,4.0,7.4,2.1,2.1,7.4,
  16) 닥터 자르트,6.0,7.3,4.7,6.3,8.5,3.3,8.2,8.3,8.7,6.7,2.7,7.4,6.3,2.1,3.7,
  39) 싸이닉,6.0,8.7,3.3,10.1,7.0,6.7,12.2,4.2,13.0,2.7,4.0,,4.2,4.2,3.7,
  47) 암웨이/아티스트리,6.0,5.3,6.7,5.1,5.6,6.7,4.1,4.2,8.7,2.7,10.7,3.7,2.1,6.3,18.5,
  23) 로레알 파리,5.0,5.3,4.7,5.1,5.6,6.7,4.1,2.1,13.0,4.0,5.3,,6.3,8.3,,
  10) 꼬달리,4.7,4.7,4.7,2.5,7.0,,4.1,6.3,8.7,4.0,5.3,7.4,2.1,4.2,7.4,
  40) 쌍빠,4.7,5.3,4.0,3.8,7.0,3.3,4.1,8.3,4.3,2.7,5.3,3.7,2.1,2.1,11.1,
   9) DHC,4.3,6.7,2.0,7.6,5.6,6.7,8.2,2.1,13.0,,4.0,,,,11.1,
  22) 라로슈포제,4.3,6.0,2.7,3.8,8.5,,6.1,4.2,17.4,2.7,2.7,3.7,2.1,2.1,3.7,
  12) 뉴스킨,4.0,6.0,2.0,6.3,5.6,,10.2,4.2,8.7,,4.0,,,2.1,7.4,
  34) 비쉬,4.0,4.7,3.3,2.5,7.0,,4.1,4.2,13.0,2.7,4.0,,4.2,6.3,,
  17) 닥터 브르너스,3.7,4.0,3.3,3.8,4.2,,6.1,4.2,4.3,4.0,2.7,3.7,4.2,2.1,3.7,
  41) 쏘내추럴,3.7,4.0,3.3,6.3,1.4,6.7,6.1,2.1,,2.7,4.0,7.4,,2.1,7.4,
  48) 에터미,3.7,4.0,3.3,6.3,1.4,10.0,4.1,,4.3,2.7,4.0,3.7,2.1,6.3,,
  60) 참존,3.7,5.3,2.0,3.8,7.0,6.7,2.0,6.3,8.7,1.3,2.7,,2.1,2.1,3.7,
  37) 수려한,3.3,5.3,1.3,5.1,5.6,3.3,6.1,2.1,13.0,,2.7,,,2.1,3.7,
  54) 이자녹스,3.3,6.0,0.7,7.6,4.2,6.7,8.2,2.1,8.7,1.3,,,2.1,,,
  20) 라끄베르,3.0,6.0,,5.1,7.0,3.3,6.1,6.3,8.7,,,,,,,
  36) 셀렉스C,3.0,3.3,2.7,3.8,2.8,,6.1,,8.7,2.7,2.7,,4.2,4.2,,
  14) 다나한,2.7,4.0,1.3,5.1,2.8,3.3,6.1,,8.7,,2.7,,,,7.4,
  56) 잇츠스킨,2.7,4.0,1.3,5.1,2.8,6.7,4.1,2.1,4.3,2.7,,,4.2,,,
  58) 지베르니,2.7,5.3,,5.1,5.6,,8.2,4.2,8.7,,,,,,,
  61) 케어존,2.7,2.7,2.7,3.8,1.4,3.3,4.1,,4.3,4.0,1.3,7.4,2.1,2.1,,
  63) 클리오,2.7,4.7,0.7,6.3,2.8,6.7,6.1,2.1,4.3,1.3,,,2.1,,,
  11) 눅스,2.3,2.0,2.7,2.5,1.4,3.3,2.0,,4.3,5.3,,7.4,4.2,,,
  26) 맥스클리닉,2.3,3.3,1.3,5.1,1.4,3.3,6.1,2.1,,,2.7,,,,7.4,
  55) 입큰,2.3,3.3,1.3,5.1,1.4,3.3,6.1,,4.3,1.3,1.3,,2.1,2.1,,
  15) 닥터 이아소,2.0,3.3,0.7,2.5,4.2,,4.1,4.2,4.3,1.3,,,2.1,,,
